yil,adres,il,ilce,mahalle,mahalle_kodu,nufus
2024,Bursa(Büyükorhan/Büyükorhan Bel./Akçasaz Mah.)-183537,Bursa,Büyükorhan,Akçasaz,183537,152
2024,Bursa(Büyükorhan/Büyükorhan Bel./Aktaş Mah.)-183539,Bursa,Büyükorhan,Aktaş,183539,391
2024,Bursa(Büyükorhan/Büyükorhan Bel./Armutçuk Mah.)-11335,Bursa,Büyükorhan,Armutçuk,11335,209
2024,Bursa(Büyükorhan/Büyükorhan Bel./Bademlik Mah.)-183605,Bursa,Büyükorhan,Bademlik,183605,58
2024,Bursa(Büyükorhan/Büyükorhan Bel./Balaban Mah.)-183541,Bursa,Büyükorhan,Balaban,183541,262
2024,Bursa(Büyükorhan/Büyükorhan Bel./Bayındır Mah.)-183543,Bursa,Büyükorhan,Bayındır,183543,88
2024,Bursa(Büyükorhan/Büyükorhan Bel./Burunca Mah.)-183545,Bursa,Büyükorhan,Burunca,183545,115
2024,Bursa(Büyükorhan/Büyükorhan Bel./Çakıryenice Mah.)-183547,Bursa,Büyükorhan,Çakıryenice,183547,76
2024,Bursa(Büyükorhan/Büyükorhan Bel./Çeribaşı Mah.)-183549,Bursa,Büyükorhan,Çeribaşı,183549,227
2024,Bursa(Büyükorhan/Büyükorhan Bel./Cumhuriyet Mah.)-11331,Bursa,Büyükorhan,Cumhuriyet,11331,421
2024,Bursa(Büyükorhan/Büyükorhan Bel./Danaçalı Mah.)-183553,Bursa,Büyükorhan,Danaçalı,183553,175
2024,Bursa(Büyükorhan/Büyükorhan Bel./Danacılar Mah.)-183551,Bursa,Büyükorhan,Danacılar,183551,200
2024,Bursa(Büyükorhan/Büyükorhan Bel./Demirler Mah.)-183555,Bursa,Büyükorhan,Demirler,183555,86
2024,Bursa(Büyükorhan/Büyükorhan Bel./Derecik Mah.)-183557,Bursa,Büyükorhan,Derecik,183557,105
2024,Bursa(Büyükorhan/Büyükorhan Bel./Düğüncüler Mah.)-183561,Bursa,Büyükorhan,Düğüncüler,183561,118
2024,Bursa(Büyükorhan/Büyükorhan Bel./Durhasan Mah.)-183559,Bursa,Büyükorhan,Durhasan,183559,266
2024,Bursa(Büyükorhan/Büyükorhan Bel./Elekçalı Mah.)-183563,Bursa,Büyükorhan,Elekçalı,183563,51
2024,Bursa(Büyükorhan/Büyükorhan Bel./Ericek Mah.)-183565,Bursa,Büyükorhan,Ericek,183565,259
2024,Bursa(Büyükorhan/Büyükorhan Bel./Gedikler Mah.)-183567,Bursa,Büyükorhan,Gedikler,183567,236
2024,Bursa(Büyükorhan/Büyükorhan Bel./Geynik Mah.)-183569,Bursa,Büyükorhan,Geynik,183569,149
2024,Bursa(Büyükorhan/Büyükorhan Bel./Hacıahmetler Mah.)-183571,Bursa,Büyükorhan,Hacıahmetler,183571,105
2024,Bursa(Büyükorhan/Büyükorhan Bel./Hacılar Mah.)-183573,Bursa,Büyükorhan,Hacılar,183573,122
2024,Bursa(Büyükorhan/Büyükorhan Bel./Hemşeriler Mah.)-183575,Bursa,Büyükorhan,Hemşeriler,183575,220
2024,Bursa(Büyükorhan/Büyükorhan Bel./Hocahasan Mah.)-11333,Bursa,Büyükorhan,Hocahasan,11333,527
2024,Bursa(Büyükorhan/Büyükorhan Bel./İsmetiye Mah.)-11336,Bursa,Büyükorhan,İsmetiye,11336,159
2024,Bursa(Büyükorhan/Büyükorhan Bel./Karaağız Mah.)-183577,Bursa,Büyükorhan,Karaağız,183577,189
2024,Bursa(Büyükorhan/Büyükorhan Bel./Karaçukur Mah.)-183579,Bursa,Büyükorhan,Karaçukur,183579,51
2024,Bursa(Büyükorhan/Büyükorhan Bel./Karalar Mah.)-183581,Bursa,Büyükorhan,Karalar,183581,103
2024,Bursa(Büyükorhan/Büyükorhan Bel./Kayapa Mah.)-183583,Bursa,Büyükorhan,Kayapa,183583,218
2024,Bursa(Büyükorhan/Büyükorhan Bel./Kınık Mah.)-183535,Bursa,Büyükorhan,Kınık,183535,725
2024,Bursa(Büyükorhan/Büyükorhan Bel./Kuşlar Mah.)-183585,Bursa,Büyükorhan,Kuşlar,183585,143
2024,Bursa(Büyükorhan/Büyükorhan Bel./Mazlumlar Mah.)-183587,Bursa,Büyükorhan,Mazlumlar,183587,345
2024,Bursa(Büyükorhan/Büyükorhan Bel./Örencik Mah.)-183591,Bursa,Büyükorhan,Örencik,183591,112
2024,Bursa(Büyükorhan/Büyükorhan Bel./Orhan Mah.)-11334,Bursa,Büyükorhan,Orhan,11334,1217
2024,Bursa(Büyükorhan/Büyükorhan Bel./Osmanlar Mah.)-183589,Bursa,Büyükorhan,Osmanlar,183589,48
2024,Bursa(Büyükorhan/Büyükorhan Bel./Özlüce Mah.)-183593,Bursa,Büyükorhan,Özlüce,183593,73
2024,Bursa(Büyükorhan/Büyükorhan Bel./Perçin Mah.)-183595,Bursa,Büyükorhan,Perçin,183595,93
2024,Bursa(Büyükorhan/Büyükorhan Bel./Pınarköy Mah.)-183597,Bursa,Büyükorhan,Pınarköy,183597,314
2024,Bursa(Büyükorhan/Büyükorhan Bel./Pirebeyler Mah.)-183599,Bursa,Büyükorhan,Pirebeyler,183599,86
2024,Bursa(Büyükorhan/Büyükorhan Bel./Sarnıç Mah.)-183601,Bursa,Büyükorhan,Sarnıç,183601,260
2024,Bursa(Büyükorhan/Büyükorhan Bel./Tekerler Mah.)-183603,Bursa,Büyükorhan,Tekerler,183603,35
2024,Bursa(Büyükorhan/Büyükorhan Bel./Yenice Mah.)-183607,Bursa,Büyükorhan,Yenice,183607,583
2024,Bursa(Büyükorhan/Büyükorhan Bel./Zaferiye Mah.)-183609,Bursa,Büyükorhan,Zaferiye,183609,224
2024,Bursa(Gemlik/Gemlik Bel./Adliye Mah.)-183611,Bursa,Gemlik,Adliye,183611,228
2024,Bursa(Gemlik/Gemlik Bel./Ata Mah.)-11339,Bursa,Gemlik,Ata,11339,2068
2024,Bursa(Gemlik/Gemlik Bel./Balıkpazarı Mah.)-11340,Bursa,Gemlik,Balıkpazarı,11340,1689
2024,Bursa(Gemlik/Gemlik Bel./Büyükkumla Mah.)-183613,Bursa,Gemlik,Büyükkumla,183613,692
2024,Bursa(Gemlik/Gemlik Bel./Cihatlı Mah.)-183615,Bursa,Gemlik,Cihatlı,183615,1864
2024,Bursa(Gemlik/Gemlik Bel./Cumhuriyet Mah.)-196385,Bursa,Gemlik,Cumhuriyet,196385,15144
2024,Bursa(Gemlik/Gemlik Bel./Demirsubaşı Mah.)-11342,Bursa,Gemlik,Demirsubaşı,11342,1151
2024,Bursa(Gemlik/Gemlik Bel./Dr.Ziya Kaya Mah.)-11343,Bursa,Gemlik,Dr.Ziya Kaya,11343,17211
2024,Bursa(Gemlik/Gemlik Bel./Engürücük Mah.)-183617,Bursa,Gemlik,Engürücük,183617,1843
2024,Bursa(Gemlik/Gemlik Bel./Eşref Dinçer Mah.)-11344,Bursa,Gemlik,Eşref Dinçer,11344,21713
2024,Bursa(Gemlik/Gemlik Bel./Feyziye Mah.)-183619,Bursa,Gemlik,Feyziye,183619,179
2024,Bursa(Gemlik/Gemlik Bel./Fındıcak Mah.)-183621,Bursa,Gemlik,Fındıcak,183621,33
2024,Bursa(Gemlik/Gemlik Bel./Gençali Mah.)-11352,Bursa,Gemlik,Gençali,11352,1412
