"mahalle_id","il","ilce","mahalle","toplam_siparis","asan_siparis","asma_orani_yuzde"
261,"Bursa","Osmangazi","Ebu İshak","16","10","62.50"
420,"Bursa","Osmangazi","Hamzabey","5","3","60.00"
398,"Bursa","Yıldırım","Hacivat","7","4","57.14"
913,"Bursa","Yıldırım","Yeşilyayla","15","8","53.33"
517,"Bursa","Osmangazi","Kavaklı","15","8","53.33"
881,"Bursa","Osmangazi","Yenibağlar","76","39","51.32"
206,"Bursa","Osmangazi","Demirkapı","8","4","50.00"
1039,"Bursa","Osmangazi","İnkaya","12","6","50.00"
7,"Bursa","Yıldırım","75.Yıl","16","8","50.00"
769,"Bursa","Yıldırım","Siteler","6","3","50.00"
751,"Bursa","Osmangazi","Selamet","12","6","50.00"
50,"Bursa","Osmangazi","Alacamescit","22","11","50.00"
374,"Bursa","Nilüfer","Gümüştepe","6","3","50.00"
368,"Bursa","Osmangazi","Gülbahçe","10","5","50.00"
310,"Bursa","Yıldırım","Eğitim","42","21","50.00"
67,"Bursa","Yıldırım","Arabayatağı","12","6","50.00"
139,"Bursa","Yıldırım","Beyazıt","53","26","49.06"
758,"Bursa","Yıldırım","Selçukbey","45","22","48.89"
668,"Bursa","Osmangazi","Nalbantoğlu","37","18","48.65"
635,"Bursa","Yıldırım","Mehmetakifersoy","27","13","48.15"
289,"Bursa","Yıldırım","Ertuğrulgazi","21","10","47.62"
49,"Bursa","Osmangazi","Alacahırka","19","9","47.37"
1,"Bursa","Yıldırım","152evler","85","40","47.06"
228,"Bursa","Yıldırım","Değirmenlikızık","51","24","47.06"
609,"Bursa","Nilüfer","Kızılcıklı","92","43","46.74"
244,"Bursa","Yıldırım","Duaçınarı","15","7","46.67"
285,"Bursa","Yıldırım","Erikli","45","21","46.67"
646,"Bursa","Yıldırım","Mimarsinan","71","33","46.48"
371,"Bursa","Yıldırım","Güllük","28","13","46.43"
685,"Bursa","Osmangazi","Orhanbey","13","6","46.15"
406,"Bursa","Yıldırım","Hacıseyfettin","26","12","46.15"
119,"Bursa","Yıldırım","Baruthane","26","12","46.15"
835,"Bursa","Osmangazi","Tuzpazarı","11","5","45.45"
607,"Bursa","Osmangazi","Kırcaali","77","35","45.45"
451,"Bursa","Yıldırım","Hocataşkın","11","5","45.45"
1071,"Bursa","Yıldırım","Şükraniye","66","30","45.45"
854,"Bursa","Osmangazi","Yahşibey","31","14","45.16"
701,"Bursa","Osmangazi","Osmangazi","60","27","45.00"
574,"Bursa","Nilüfer","Kurtuluş","211","94","44.55"
526,"Bursa","Osmangazi","Kayıhan","45","20","44.44"
872,"Bursa","Yıldırım","Yediselviler","9","4","44.44"
17,"Bursa","Nilüfer","Ahmet Yesevi","359","159","44.29"
363,"Bursa","Nilüfer","Görükle","2317","1023","44.15"
545,"Bursa","Osmangazi","Kiremitçi","109","48","44.04"
54,"Bursa","Osmangazi","Alemdar","25","11","44.00"
347,"Bursa","Osmangazi","Geçit","301","132","43.85"
46,"Bursa","Osmangazi","Alaaddin","16","7","43.75"
658,"Bursa","Yıldırım","Musababa","16","7","43.75"
1062,"Bursa","Osmangazi","Şehreküstü","16","7","43.75"
109,"Bursa","Nilüfer","Balat","622","270","43.41"
457,"Bursa","Osmangazi","Hürriyet","42","18","42.86"
843,"Bursa","Yıldırım","Umurbey","28","12","42.86"
549,"Bursa","Osmangazi","Kocanaip","7","3","42.86"
399,"Bursa","Osmangazi","Hacı İlyas","56","24","42.86"
111,"Bursa","Nilüfer","Balkan","506","216","42.69"
726,"Bursa","Yıldırım","Piremir","47","20","42.55"
627,"Bursa","Yıldırım","Maltepe","19","8","42.11"
502,"Bursa","Yıldırım","Karamazak","38","16","42.11"
47,"Bursa","Nilüfer","Alaaddinbey","38","16","42.11"
291,"Bursa","Yıldırım","Esenevler","38","16","42.11"
246,"Bursa","Nilüfer","Dumlupınar","2483","1043","42.01"
653,"Bursa","Osmangazi","Muradiye","50","21","42.00"
277,"Bursa","Yıldırım","Emirsultan","31","13","41.94"
697,"Bursa","Yıldırım","Ortabağlar","55","23","41.82"
273,"Bursa","Osmangazi","Emek Fatih Sultan Mehmet","134","56","41.79"
213,"Bursa","Osmangazi","Demirtaşpaşa","79","33","41.77"
756,"Bursa","Yıldırım","Selimzade","24","10","41.67"
563,"Bursa","Osmangazi","Koğukçınar","12","5","41.67"
225,"Bursa","Osmangazi","Dereçavuşköy","29","12","41.38"
66,"Bursa","Yıldırım","Anadolu","29","12","41.38"
202,"Bursa","Nilüfer","Demirci","463","190","41.04"
730,"Bursa","Osmangazi","Reyhan","22","9","40.91"
551,"Bursa","Nilüfer","Konak","504","206","40.87"
143,"Bursa","Nilüfer","Beşevler","645","263","40.78"
274,"Bursa","Osmangazi","Emek Zekai Gümüşdiş","118","48","40.68"
272,"Bursa","Osmangazi","Emek Adnan Menderes","341","137","40.18"
1053,"Bursa","Osmangazi","İstiklal","224","90","40.18"
